keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
difusor aceites esenciales,Home Appliances,MX,8.956044,0.488661,15300.0,0.020719,187.242,Muerto,0.039428,0.054122,0.004474,52.935499,0.182988,0.0,12.68,0.18894,LOW
purificador aire portatil,Furniture,MX,1.098901,0.06689,3089.0,0.018453,4063.95,Barato masivo,0.033658,0.005,0.004387,7.118968,0.006401,2.8e-05,8.142857,0.185026,LOW
protector teclado silicona,Phones & Telecommunications Accessories,MX,1.098901,-0.055741,,0.0,21.001,Muerto,0.00307,0.0,0.004388,0.0,-0.005334,2.8e-05,0.0,0.172268,LOW
espejo maquillaje led,Beauty & Health,MX,4.098901,0.227122,16303.0,0.011164,64.707,Muerto,0.018022,0.01,0.004388,24.539895,0.045897,0.0,5.352941,0.176423,LOW
organizador joyeria,Home & Garden,MX,1.098901,0.058927,91216.0,0.059595,74.467,Estable,0.003392,0.0,0.004388,6.402293,0.005639,2.8e-05,339.75,0.180873,LOW
organizador zapatos,Home & Garden,MX,11.483516,0.632585,77223.0,0.009868,25.756,Muerto,0.048201,0.668826,0.005334,68.416149,0.263211,0.0,33.130435,0.195152,LOW
zapatero portatil,Home & Garden,MX,1.098901,0.065297,,0.0,21.913,Muerto,0.003672,0.0,0.004388,6.975633,0.006249,2.8e-05,0.0,0.172828,LOW
dispensador jabon automatico,Home Improvement,MX,1.098901,0.062112,4266.0,0.006329,138.67,Muerto,0.009629,0.0,0.004388,6.688963,0.005944,2.8e-05,5.4,0.175333,LOW
cortador verduras manual,Home & Garden,MX,1.098901,0.063704,476.0,0.02521,61.99,Muerto,0.003821,0.0,0.004388,6.832298,0.006096,2.8e-05,1.333333,0.172915,LOW
pelador frutas acero,Home & Garden,MX,1.098901,0.020704,,0.0,38.511,Muerto,0.003974,0.0,0.004388,2.962255,0.001981,2.8e-05,0.0,0.172831,LOW
taza mezcladora automatica,Home & Garden,MX,1.098901,0.003185,467.0,0.006424,38.5875,Muerto,0.004274,0.0,0.004388,1.385571,0.000305,2.8e-05,0.6,0.172919,LOW
molinillo cafe manual,Home & Garden,MX,1.098901,-0.062112,3084.0,0.020752,4897.381667,Barato masivo,0.025629,0.015,0.004387,0.0,-0.005944,2.8e-05,6.4,0.181431,LOW
cafetera portatil viaje,Home & Garden,MX,1.098901,0.004778,4043.0,0.026713,83.876,Muerto,0.003417,0.0,0.004388,1.528906,0.000457,2.8e-05,5.4,0.172696,LOW
bascula cocina digital,Home & Garden,MX,1.813187,0.00911,11226.0,0.005434,46.04,Muerto,0.002924,0.005,0.004388,2.633063,0.001419,2.4e-05,3.388889,0.171983,LOW
temporizador cocina digital,Home & Garden,MX,1.098901,0.028667,1057.0,0.015137,41.995,Muerto,0.003951,0.0,0.004388,3.67893,0.002743,2.8e-05,1.333333,0.172875,LOW
sellador bolsas plastico,Home & Garden,MX,2.043956,0.106896,37663.0,0.007726,33.699,Muerto,0.006335,0.0,0.004388,11.664596,0.014813,1e-06,72.75,0.17264,LOW
